value,unp,registration_date,removal_date,status,full_name_ru,trade_name_ru,address,oked,oked_name
"САДОВОДЧЕСКОЕ ТОВАРИЩЕСТВО ""МЕДИК-03"" 600044532",600044532,544392000000,,ACTIVE,"САДОВОДЧЕСКОЕ ТОВАРИЩЕСТВО ""МЕДИК-03""",МЕДИК-03,"220000, Минская область, Столбцовский район, р-н Столбцовский, (урочище Ливье, хутор Засулье)",01139,"Выращивание прочих овощей, бахчевых, корнеплодных, клубнеплодных культур"
ЖСПК №696 190924917,190924917,1196892000000,,ACTIVE,Жилищно-строительный потребительский кооператив №696,ЖСПК №696,"220045, г. Минск, ул. Наполеона Орды, д. 33, пом. 1н",68200,Сдача внаем собственного и арендуемого недвижимого имущества
"ООО ""0х3Д"" 193752579",193752579,1710709200000,,ACTIVE,"Общество с ограниченной ответственностью ""0х3Д""",0х3Д,"220055, Фрунзенский район, г. Минск, ул. Каменногорская, д. 47, пом. 95",22290,Производство прочих пластмассовых изделий
"ООО ""А007"" 193757966",193757966,1712696400000,,ACTIVE,"Общество с ограниченной ответственностью ""А007""",А007,"220069, Московский район, г. Минск, ул. Дзержинского, д. 23, пом. 431а",73110,Деятельность по созданию рекламы
"ООО ""Залкинтрейд"" 693284079",693284079,1686085200000,,ACTIVE,"Общество с ограниченной ответственностью ""Залкинтрейд""",Залкинтрейд,"223034, Минская область, Минский район, г. Заславль, ул. Советская, д. 100А, пом. 31",95291,"Ремонт швейных, трикотажных изделий и головных уборов"
"ООО ""ПАНТЕРА"" 100072107",100072107,739486800000,,ACTIVE,"Общество с ограниченной ответственностью ""ПАНТЕРА""",ПАНТЕРА,"220113, г. Минск, ул. Мележа, д. 5, корпус 2, пом. 309",52610,Розничная торговля по образцам
"ООО ""ПМК09008"" 491379421",491379421,1665522000000,,ACTIVE,"Общество с ограниченной ответственностью ""ПМК09008""",ПМК09008,"246000, Гомельская область, г. Гомель, ул. Победы, д. 29, ком. 32",96020,Предоставление услуг парикмахерскими и салонами красоты
"ООО ""ТехЦентрАвтоГрупп"" 693284278",693284278,1688590800000,,ACTIVE,"Общество с ограниченной ответственностью ""ТехЦентрАвтоГрупп""",ТехЦентрАвтоГрупп,"223034, Минская область, Минский район, г. Заславль, ул. Советская, д. 124, пом. 11",45200,Техническое обслуживание и ремонт автомобилей
"СТ ""Связист"" 600181763",600181763,394833600000,,ACTIVE,"Садоводческое товарищество в/ч 06468 ""Связист""",Связист,"Минская область, Логойский район, д. Бояры, (карьер Бояры)",96090,"Предоставление прочих индивидуальных услуг, не включенных в другие группировки"
"УП ""БЕЛНИСТА"" 190114924",190114924,961448400000,,ACTIVE,"Торговое частное унитарное предприятие ""БЕЛНИСТА""",БЕЛНИСТА,"220019, г. Минск, ул. Чайлытко, д. 2, (3 подъезд, 1 этаж)",52120,Прочая розничная торговля в неспециализированных магазинах
