value,unp,registration_date,removal_date,status,full_name_ru,trade_name_ru,address,oked,oked_name
"ИП ""СВЕБА"" 400536007",400536007,893019600000,1103666400000,REORGANIZING,"ИНОСТРАННОЕ ЧАСТНОЕ УНИТАРНОЕ ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКОЕ ПРЕДПРИЯТИЕ ""СВЕБА"" ООО ""БАЛАТЕП-БРЯНСК""",СВЕБА,"247400, Гомельская область, г. Светлогорск, ул. Ленина, д. 13",,
"""ИСТПАЛ"" ООО 400086938",400086938,725148000000,993762000000,REORGANIZING,"""ИСТПАЛ"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",ИСТПАЛ,"247760, Гомельская область, г. Мозырь, ул. МАЛИНИНА  /РЫНОК/",,
"""МЕТРЭМ"" ООО 400237142",400237142,769294800000,1118178000000,REORGANIZING,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕЖДУНАРОДНЫЙ ТРАНСПОРТ И ЭКСПЕДИЦИЯ Г.МОЗЫРЯ""",МЕЖДУНАРОДНЫЙ ТРАНСПОРТ И ЭКСПЕДИЦИЯ Г.МОЗЫРЯ,"247760, Гомельская область, г. Мозырь, ул. ПОРТОВАЯ, д. 64, ком. 66, (64 К 66)",,
"ООО ""1ИСКУОИ"" 193345520",193345520,1574283600000,1721336400000,REORGANIZING,"Общество с ограниченной ответственностью ""1ИСКУОИ""",1ИСКУОИ,"220030, г. Минск, ул. Интернациональная, д. 25а",56100,Деятельность ресторанов
"ООО ""4И2"" 193441071",193441071,1594155600000,1737493200000,REORGANIZING,"Общество с ограниченной ответственностью ""4И2""",4И2,"220036, г. Минск, ул. Карла Либкнехта, д. 66, пом. 14",63119,"Прочая обработка данных, предоставление услуг по размещению информации и связанная с этим деятельность"
"ООО ""12Трип"" 690668599",690668599,1510606800000,1603659600000,REORGANIZING,"Общество с ограниченной ответственностью ""12Трип""",12Трип,"223053, Минская область, Минский район, с/с Боровлянский, д. 1, пом. 506, (район деревни Боровая, главный корпус)",79110,Турагентская деятельность
"ООО ""24на7инвестгрупп"" 193567650",193567650,1625518800000,1634590800000,REORGANIZING,"Общество с ограниченной ответственностью ""24на7инвестгрупп""",24на7инвестгрупп,"220036, г. Минск, ул. Бетонный, д. 19а, каб. 306",41100,"Реализация проектов, связанных со строительством зданий"
ООО «ДСБПлюс» 693251630,693251630,1686258000000,1728248400000,REORGANIZING,Общество с ограниченной ответственностью «ДСБПлюс»,ДСБПлюс,"211304, Витебская область, Витебский район, аг. Кировская, ул. Мира, д. 27Б",33170,"Ремонт, техническое обслуживание прочих транспортных средств и оборудования"
ООО «ШмиТранс» 812007481,812007481,1681160400000,1688504400000,REORGANIZING,Общество с ограниченной ответственностью «ШмиТранс»,ШмиТранс,"213134, Могилевская область, Могилевский район, аг. Буйничи, ул. Промысловая, д. 14",49321,Деятельность такси
"ООО ""А500"" 290495864",290495864,1212354000000,1567371600000,REORGANIZING,"Общество с ограниченной отвественностью ""А500""",А500,"225038, Брестская область, Брестский район, с/с Клейниковский, (в районе агрогородка Клейники)",46730,"Оптовая торговля лесоматериалами, санитарно-техническим оборудованием и строительными материалами"
"ООО ""А500Брест"" 291434729",291434729,1484859600000,1567371600000,REORGANIZING,"Общество с ограниченной ответственностью ""А500Брест""",А500Брест,"225038, Брестская область, Брестский район, с/с Клейниковский, (район агрогородка Клейники)",46730,"Оптовая торговля лесоматериалами, санитарно-техническим оборудованием и строительными материалами"
"ООО ""Абакас"" 193052448",193052448,1521493200000,1699909200000,REORGANIZING,"Общество с ограниченной ответственностью ""Абакас""",Абакас,"220037, г. Минск, ул. Передовая, д. 15, оф. 21, (помещение 2)",46421,Оптовая торговля одеждой
"ООО ""Аберкром"" 193595296",193595296,1634158800000,1721336400000,REORGANIZING,"Общество с ограниченной ответственностью ""Аберкром""",Аберкром,"225406, Брестская область, г. Барановичи, ул. Пионерская, д. 87, каб. 5-2",43390,Прочие отделочные работы
"ООО ""Абиус"" 191665980",191665980,1313355600000,1610571600000,REORGANIZING,"Общество с ограниченной ответственностью ""Абиус""",Абиус,"220030, г. Минск, ул. Октябрьская, д. 23, каб. 21",56100,Деятельность ресторанов
"ООО ""АбливиТранс"" 693159161",693159161,1637787600000,1659560400000,REORGANIZING,"Общество с ограниченной ответственностью ""АбливиТранс""",АбливиТранс,"223012, Минская область, Минский район, г.п. Мачулищи, ул. Аэродромная, д. 1, пом. 1Н",49321,Деятельность такси
"ООО ""АбрамКом"" 693284104",693284104,1686690000000,1697662800000,REORGANIZING,"Общество с ограниченной ответственностью ""АбрамКом""",АбрамКом,"220136, г. Минск, ул. Бурдейного, д. 22, оф. 3",46900,Неспециализированная оптовая торговля товарами
"ООО ""Абсолютдрев"" 191003532",191003532,1205964000000,1548277200000,REORGANIZING,"Общество с ограниченной ответственностью ""Абсолютдрев""",Абсолютдрев,"220021, г. Минск, ул. Мичурина, д. 3, пом. 1",31090,Производство прочей мебели
"ООО ""АБСОЛЮТСТРОЙ"" 190431264",190431264,1048111200000,1579640400000,REORGANIZING,"Общество с ограниченной ответственностью ""АБСОЛЮТСТРОЙ""",АБСОЛЮТСТРОЙ,"Минская область, Минский район, д. Дофаренция, ул. Шоссейная, д. 2, ком. 8Б",77290,Аренда и лизинг прочих предметов личного потребления и бытовых товаров
"ООО ""АБЭКА"" 691387104",691387104,1306875600000,1311886800000,REORGANIZING,"Общество с ограниченной ответственностью ""АБЭКА""",АБЭКА,"223070, Минская область, Минский район, с/с Михановичский, ул. район п.Михановичи, здание ООО ""Евросклад"", ком. 3, (литер Г 1-3/к-кп, № 600/С-114367, 2 этаж)",70200,Сдача внаем собственного недвижимого имущества
"ООО ""Авакинторг"" 391615083",391615083,1500843600000,1532293200000,REORGANIZING,"Общество с ограниченной ответственностью ""Авакинторг""",Авакинторг,"211402, Витебская область, Полоцкий район, г. Полоцк, ул. Дзержинского, д. 103, ком. 3",46900,Неспециализированная оптовая торговля товарами
