value,unp,registration_date,removal_date,status,full_name_ru,trade_name_ru,address,oked,oked_name
ООО«АстартаСтиль» 692259874,692259874,1652302800000,,ACTIVE,общество с ограниченной ответственностью «АстартаСтиль»,АстартаСтиль,"222310, Минская область, Молодечненский район, г. Молодечно, ул. Притыцкого, д. 8, пом. 3Н",47780,Прочая розничная торговля непродовольственными товарами в специализированных магазинах
"""АГАТ"" ООО 600136539",600136539,671749200000,,ACTIVE,"ПРЕДПРИЯТИЕ ""АГАТ"" МНОГОЦЕЛЕВОГО НАЗНАЧЕНИЯ ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",АГАТ,"222310, Минская область, г. Молодечно, ул. ДРОЗДОВИЧА, д. 5В, (5В)",,
"""АДАМАНТ"" ООО 600277142",600277142,793404000000,,ACTIVE,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АДАМАНТ""",АДАМАНТ,"223020, Минская область, Минский район, д. Кунцевщина, ул. САДОВАЯ, д. 2, (2)",,
"""АЛЬФАТЕКС"" ООО 700382011",700382011,868654800000,,ACTIVE,"Общество с ограниченной ответственностью ""АЛЬФАТЕКС""",АЛЬФАТЕКС,"212030, Могилевская область, г. Могилев, ул. Ленинская, д. 68",,
"""БЕЛПИТТО"" ООО 600130329",600130329,734043600000,,ACTIVE,"БЕЛОРУССКО-УКРАИНСКОЕ ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕЛПИТТО""",БЕЛПИТТО,"223710, Минская область, г. Солигорск, ул. Заслонова, д. 79",,
"""БЕЛСТРОЙРЕМНАЛАДКА"" ООО 100033175",100033175,662072400000,,ACTIVE,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕЛСТРОЙРЕМНАЛАДКА""",БЕЛСТРОЙРЕМНАЛАДКА,"220075, г. Минск, ул. ИНЖЕНЕРНАЯ, д. 22, ком. 306",27120,Производство электрораспределительной и регулирующей аппаратуры
"""БЕЛТЕКС"" ООО 790035212",790035212,964386000000,,ACTIVE,"Общество с ограниченной ответственностью ""БЕЛТЕКС""",БЕЛТЕКС,"212030, Могилевская область, г. Могилев, ул. Ленинская, д. 42",68200,Сдача внаем собственного и арендуемого недвижимого имущества
"""БЕЛЭКОАНАЛИТ"" ООО 100641705",100641705,724975200000,,ACTIVE,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕЛЭКОАНАЛИТ""",БЕЛЭКОАНАЛИТ,"220015, г. Минск, ул. ГУРСКОГО, д. 18, (18)",,
"""БИАЙР"" ООО 808001141",808001141,1138744800000,,ACTIVE,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИАЙР""",БИАЙР,"г. Минск, ул. ИНЖЕНЕРНАЯ, д. 8, литер В1/к, ком. 3",21220,Производство бумажных изделий хозяйственно-бытового и санитарно-гигиенического назначения
"""Викон"" ООО 700195078",700195078,775861200000,,ACTIVE,"Общество с ограниченной ответственностью ""Викон""",Викон,"212030, Могилевская область, г. Могилев, ул. Пожарный, д. 13",43210,Электромонтажные работы
"""ГРАНТ"" ООО 700220464",700220464,786232800000,,ACTIVE,"Общество с ограниченной ответственностью ""ГРАНТ""",ГРАНТ,"212026, Могилевская область, г. Могилев, ул. Загорский, д. 6А",49410,Деятельность грузового автомобильного транспорта
"""Дальсвязь"" ООО 812000089",812000089,1054069200000,,ACTIVE,"Общество с ограниченной ответственностью ""Дальсвязь""",Дальсвязь,"212011, Могилевская область, г. Могилев, ул. 1-й Калужский, д. 2а, пом. 31",,
"""ИНАВТОМАРКЕТ"" ООО 190243268",190243268,991256400000,,ACTIVE,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНАВТОМАРКЕТ""",ИНАВТОМАРКЕТ,"220098, г. Минск, ул. СЛОБОДСКАЯ, д. 11, ком. 211, (11, КОМН 211)",,
"""КиМенск"" ООО 100057279",100057279,861656400000,,ACTIVE,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КиМенск""",КиМенск,"220075, г. Минск, ул. Селицкого, д. 21н, ком. 4а",,
"""ЛАДА"" ООО 400549911",400549911,899845200000,,ACTIVE,"Общество с ограниченной ответственностью ""ЛАДА""",ЛАДА,"247434, Гомельская область, Светлогорский район, г. Светлогорск, ул. Авиационная, д. 74",63214,Услуги автомобильных стоянок
"""ЛЕС"" ООО 400265385",400265385,780616800000,,ACTIVE,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКОЕ ПРЕДПРИЯТИЕ ""ЛЕС""",ЛЕС,"246022, Гомельская область, г. Гомель, ул. ПОБЕДЫ, д. 19, кв. 12, (19-A KB 12)",,
"ООО ""0х3Д"" 193752579",193752579,1710709200000,,ACTIVE,"Общество с ограниченной ответственностью ""0х3Д""",0х3Д,"220055, Фрунзенский район, г. Минск, ул. Каменногорская, д. 47, пом. 95",22290,Производство прочих пластмассовых изделий
"ООО ""1БухБел"" 691766969",691766969,1403038800000,,ACTIVE,"Общество с ограниченной ответственностью ""1БухБел""",1БухБел,"223048, Минская область, Минский район, п. Шершуны, ул. Э.Савенко, д. 3, корпус 3, каб. 31",85590,"Прочие виды образования, не включенные в другие группировки"
"ООО ""1Дата"" 193712316",193712316,1695762000000,,ACTIVE,"Общество с ограниченной ответственностью ""1Дата""",1Дата,"222521, Минская область, Борисовский район, д. Углы, ул. Октябрьская, д. 5",23700,"Резка, обработка и отделка камня"
"ООО ""1продажа"" 192821455",192821455,1506632400000,,ACTIVE,"Общество с ограниченной ответственностью ""1продажа""",1продажа,"220036, г. Минск, ул. 3-й Загородный, д. 4в, оф. 53",62020,Консультационные услуги в области компьютерных технологий
