value,unp,registration_date,removal_date,status,full_name_ru,trade_name_ru,address,oked,oked_name
"""ВИЗАНТ"" ООО 600491718",600491718,877903200000,,BANKRUPT,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИЗАНТ""",ВИЗАНТ,"223017, Минская область, Минский район, п. Гатово",,
"ООО ""2Дэгрупп"" 192012987",192012987,1373317200000,,BANKRUPT,"Общество с ограниченной ответственностью ""2Дэгрупп""",2Дэгрупп,"220073, г. Минск, ул. Бирюзова, д. 12а, ком. 13",46900,Неспециализированная оптовая торговля товарами
"ООО ""Аброникс"" 691438454",691438454,1359061200000,,BANKRUPT,"Общество с ограниченной ответственностью ""Аброникс""",Аброникс,"223825, Минская область, Любанский район, аг. Осовец, ул. Заречная, д. 2А, ком. 5",11070,"Производство безалкогольных напитков, минеральных вод и других вод в бутылках"
"ООО ""Аватариал"" 592025304",592025304,1698094800000,,BANKRUPT,"Общество с ограниченной ответственностью ""Аватариал""",Аватариал,"230026, Гродненская область, г. Гродно, ул. Победы, д. 17Б, оф. 13",70220,Консультирование по вопросам коммерческой деятельности и прочее консультирование по вопросам управления
"ООО ""Авенюпарк"" 791314788",791314788,1669669200000,,BANKRUPT,"Общество с ограниченной ответственностью ""Авенюпарк""",Авенюпарк,"231103, Гродненская область, Ошмянский район, г. Ошмяны, ул. Советская, д. 39, корпус А, пом. 4",77110,Аренда и лизинг легковых автомобилей и грузовых автомобилей малой грузоподъемности
"ООО ""АвтоГалатикаТакс"" 193644574",193644574,1662066000000,,BANKRUPT,"Общество с ограниченной ответственностью ""АвтоГалатикаТакс""",АвтоГалатикаТакс,"220004, г. Минск, ул. Нововиленская, д. 38, каб. 11",49321,Деятельность такси
"ООО ""АвтоЗапПродажа"" 692195551",692195551,1638478800000,,BANKRUPT,"Общество с ограниченной ответственностью ""АвтоЗапПродажа""",АвтоЗапПродажа,"223051, Минская область, Минский район, аг. Хатежино, ул. Центральная, д. 18Б, корпус 1, пом. 47",45310,"Оптовая торговля автомобильными деталями, узлами и принадлежностями для автомобилей"
"ООО ""АвтоКлик"" 193650328",193650328,1664917200000,,BANKRUPT,"Общество с ограниченной ответственностью ""АвтоКлик""",АвтоКлик,"220073, г. Минск, ул. Скрыганова, д. 6, пом. 7",49321,Деятельность такси
"ООО ""АгроДЖАН"" 692204646",692204646,1653339600000,,BANKRUPT,"Общество с ограниченной ответственностью ""АгроДЖАН""",АгроДЖАН,"210040, Витебская область, г. Витебск, ул. Гагарина, д. 193, ком. 1",45200,Техническое обслуживание и ремонт автомобилей
"ООО ""АгроМастерСервис"" 190184411",190184411,977954400000,,BANKRUPT,"Общество с ограниченной ответственностью ""АгроМастерСервис""",АгроМастерСервис,"220109, г. Минск, ул. Академика А.К.Красина, д. 29, пом. 2Н",26510,"Производство инструментов и приборов для измерения, тестирования и навигации"
"ООО ""АгроМитКристалл"" 291602004",291602004,1571778000000,,BANKRUPT,"Общество с ограниченной ответственностью ""АгроМитКристалл""",АгроМитКристалл,"225903, Брестская область, Малоритский район, г. Малорита, ул. Ленина, д. 15, каб. 4",01450,Разведение овец и коз
"ООО ""Агрониттрейд"" 193422697",193422697,1590094800000,,BANKRUPT,"Общество с ограниченной ответственностью ""Агрониттрейд""",Агрониттрейд,"220125, г. Минск, ул. Уручская, д. 19Б, пом. 4-Т, (казарма №4)",46230,Оптовая торговля живыми животными
"ООО ""АдмиралТаксГруппПром"" 193645208",193645208,1662411600000,,BANKRUPT,"Общество с ограниченной ответственностью ""АдмиралТаксГруппПром""",АдмиралТаксГруппПром,"220073, г. Минск, ул. Ольшевского, д. 24, каб. 434",49321,Деятельность такси
"ООО ""АдреналКрузПлюсТакс"" 693244745",693244745,1647896400000,,BANKRUPT,"Общество с ограниченной ответственностью ""АдреналКрузПлюсТакс""",АдреналКрузПлюсТакс,"222514, Минская область, Борисовский район, г. Борисов, ул. Михаила Морозова, д. 39",49321,Деятельность такси
"ООО ""Айран"" 790205631",790205631,1062277200000,,BANKRUPT,"Общество с ограниченной ответственностью ""Айран""",Айран,"213827, Могилевская область, г. Бобруйск, ул. Минская, д. 150/1, ком. 1",47110,"Розничная торговля в неспециализированных магазинах преимущественно продуктами питания, напитками и табачными изделиями"
"ООО ""Акватехнология"" 590999705",590999705,1294783200000,,BANKRUPT,"Общество с ограниченной ответственностью ""Акватехнология""",Акватехнология,"230000, Гродненская область, г. Гродно, ул. Карского, д. 2А",49410,Деятельность грузового автомобильного транспорта
"ООО ""Акуздар"" 193688990",193688990,1684875600000,,BANKRUPT,"Общество с ограниченной ответственностью ""Акуздар""",Акуздар,"220019, г. Минск, ул. Сухаревская, д. 16, пом. 6Н",46900,Неспециализированная оптовая торговля товарами
"ООО ""Акулус"" 193553482",193553482,1622408400000,,BANKRUPT,"Общество с ограниченной ответственностью ""Акулус""",Акулус,"220088, г. Минск, ул. Захарова, д. 59, каб. 321",43210,Электромонтажные работы
"ООО ""Александмит"" 591037899",591037899,1628110800000,,BANKRUPT,"Общество с ограниченной ответственностью ""Александмит""",Александмит,"230026, Гродненская область, г. Гродно, ул. Янки Купалы, д. 87, оф. 616",47990,"Прочая розничная торговля вне магазинов, палаток, киосков и рынков"
"ООО ""Альдебра"" 491043010",491043010,1591131600000,,BANKRUPT,"Общество с ограниченной ответственностью ""Альдебра""",Альдебра,"247873, Гомельская область, Ельский район, г. Ельск, ул. Дзержинского, д. 20, ком. 9",47710,Розничная торговля одеждой в специализированных магазинах
