value,unp,registration_date,removal_date,status,full_name_ru,trade_name_ru,address,oked,oked_name
"ООО ФИРМА ""НАСОМА"" 200000029",200000029,741992400000,888962400000,LIQUIDATED,"ООО ФИРМА ""НАСОМА""",НАСОМА,"224028, Брестская область, г. Брест, ул. ГРОДНЕНСКАЯ, д. 40, кв. 21",,
"ООО ""АКВИ - ЛТД"" 200000031",200000031,738968400000,884383200000,LIQUIDATED,"ООО ""АКВИ - ЛТД""",АКВИ - ЛТД,"224000, Брестская область, г. Брест, ул. Я. Купалы, д. 108/1",,
"ООО ""МОСТ"" 200000600",200000600,738536400000,884383200000,LIQUIDATED,"ООО ""МОСТ""",МОСТ,"224028, Брестская область, г. Брест, ул. ЛЕНИНГРАДСКАЯ, д. 1, кв. 96, (224028,Г.БРЕСТ,УЛ.ЛЕНИНГРАДСКАЯ 1 К.96)",,
"ООО ""ФОНДИНВЕСТ"" 200001186",200001186,738968400000,883432800000,LIQUIDATED,"ООО ""ФОНДИНВЕСТ""",ФОНДИНВЕСТ,"224028, Брестская область, г. Брест, ул. МОСКОВСКАЯ, д. 362/3, (224028,Г.БРЕСТ,УЛ.МОСКОВСКАЯ 362/3)",,
"ПКФ ООО ""ШИК"" 200001329",200001329,740178000000,836341200000,LIQUIDATED,"ПКФ ООО ""ШИК""",ШИК,"224023, Брестская область, г. Брест, ул. МОСКОВСКАЯ, д. 336/4, кв. 64, (224023,Г.БРЕСТ,УЛ.МОСКОВСКАЯ 336/4 К.64)",,
"ООО ""СОЮЗ-93"" 200001410",200001410,741992400000,804718800000,LIQUIDATED,"ООО ""СОЮЗ-93""",СОЮЗ-93,"224020, Брестская область, г. Брест, ул. Я. Купалы, д. 60, кв. 143",01,"Сельское хозяйство, охота и предоставление услуг в этих областях"
"ООО ""АГРОСЕРВИС"" 200001530",200001530,700869600000,877467600000,LIQUIDATED,"ООО ""АГРОСЕРВИС""",АГРОСЕРВИС,"224030, Брестская область, г. Брест, ул. МОСКОВСКАЯ, д. 18, (224030,Г.БРЕСТ,УЛ.МОСКОВСКАЯ 18)",,
"ООО ""АЛЬВИАЛ"" 200002047",200002047,716590800000,875653200000,LIQUIDATED,"ООО ""АЛЬВИАЛ""",АЛЬВИАЛ,"224028, Брестская область, г. Брест, ул. ГРОДНЕНСКАЯ, д. 38, кв. 132",,
"ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКОЕ ООО ""ИНИЦИАТИВА"" 200002075",200002075,690588000000,828565200000,LIQUIDATED,"ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКОЕ ООО ""ИНИЦИАТИВА""",ИНИЦИАТИВА,"224005, Брестская область, г. Брест, ул. НАГАНОВА, д. 10, (224005,Г.БРЕСТ,УЛ.НАГАНОВА 10)",,
"ООО ПКФ ""БЕЛМАРК"" 200002141",200002141,690588000000,861138000000,LIQUIDATED,"ООО ПКФ ""БЕЛМАРК""",БЕЛМАРК,"224003, Брестская область, г. Брест, ул. ПУШКИНСКАЯ, д. 19, кв. 504, (224003,Г.БРЕСТ,УЛ.ПУШКИНСКАЯ 19 К.504)",,
"ООО. ПРОИЗВОДСТВЕННО-СТРОИТЕЛЬНЫЙ КОММЕРЧЕСКИЙ КОМПЛЕКС ""СТАЛАКТИТ"" 600018997",600018997,693007200000,855612000000,LIQUIDATED,"ООО. ПРОИЗВОДСТВЕННО-СТРОИТЕЛЬНЫЙ КОММЕРЧЕСКИЙ КОМПЛЕКС ""СТАЛАКТИТ""",СТАЛАКТИТ,"223110, Минская область, Логойский район, р-н Логойский, ул. ПОБЕДЫ, д. 77, (223110,МИНСКАЯ ОБЛ., Г.П. ЛОГОЙСК,УЛ. ПОБЕДЫ, 77)",,
"ООО ""ПРЕДСТАВИТЕЛЬСТВО"" ""АВТОМАР-ДВА"" РОССИЙСКО-БЕЛОРУСКОЕ ПРЕДПРИЯТИЕ 600020255",600020255,701474400000,851551200000,LIQUIDATED,"ООО ""ПРЕДСТАВИТЕЛЬСТВО"" ""АВТОМАР-ДВА"" РОССИЙСКО-БЕЛОРУСКОЕ ПРЕДПРИЯТИЕ",ПРЕДСТАВИТЕЛЬСТВО,"223036, Минская область, г. Заславль, ул. СОВЕТСКАЯ, д. 132, (223036,МИНСКАЯ ОБЛ., Г. ЗАСЛАВЛЬ,УЛ. СОВЕТСКАЯ, 132)",,
"МП ООО ""ОСТБИ"" 600029650",600029650,709419600000,864853200000,LIQUIDATED,"МП ООО ""ОСТБИ""",ОСТБИ,"222310, Минская область, г. Молодечно, ул. ХМЕЛЬНИЦКОГО, д. 6, (222310,МИНСКАЯ ОБЛ., Г. МОЛОДЕЧНО,УЛ. ХМЕЛЬНИЦКОГО , 6-14)",,
"ПРОИЗВОДСТВЕННО-ПРОМЫШЛЕННОЕ ПРЕДПРИЯТИЕ В ФОРМЕ ООО ""ОРИОН"" 600030443",600030443,725666400000,982879200000,LIQUIDATED,"ПРОИЗВОДСТВЕННО-ПРОМЫШЛЕННОЕ ПРЕДПРИЯТИЕ В ФОРМЕ ООО ""ОРИОН""",ОРИОН,"223610, Минская область, г. Слуцк, ул. СОЦИАЛИСТИЧЕСКАЯ, д. 164, (223610,МИНСКАЯ ОБЛ., Г. СЛУЦК,УЛ. СОЦИАЛИСТИЧЕСКАЯ, 164-32)",,
"ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКАЯ ФИРМА ""РУБОН-ООО"" 600033149",600033149,725234400000,859500000000,LIQUIDATED,"ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКАЯ ФИРМА ""РУБОН-ООО""",РУБОН-ООО,"222620, Минская область, Несвижский район, г. Несвиж, ул. СНОВСКАЯ, д. 6, (222620,МИНСКАЯ ОБЛ., Г. НЕСВИЖ,УЛ. СНОВСКАЯ, 6)",,
"ООО ""МИФ"" 200003878",200003878,738536400000,875653200000,LIQUIDATED,"ООО ""МИФ""",МИФ,"224011, Брестская область, г. Брест, ул. ВОЛГОГРАДСКАЯ, д. 12, ком. 202, (224011,Г.БРЕСТ,УЛ.ВОЛГОГРАДСКАЯ 12 К.202)",,
"ООО ""ЛАНТАН"" 200003998",200003998,738968400000,847231200000,LIQUIDATED,"ООО ""ЛАНТАН""",ЛАНТАН,"224030, Брестская область, г. Брест, ул. МОСКОВСКАЯ, д. 10, кв. 1001, (224030,Г.БРЕСТ,УЛ.МОСКОВСКАЯ 10 К.1001)",,
"ООО ""АБИК"" 200004093",200004093,744411600000,833922000000,LIQUIDATED,"ООО ""АБИК""",АБИК,"224020, Брестская область, г. Брест, ул. Я КУПАЛЫ, д. 74, кв. 9, (224020,Г.БРЕСТ,УЛ.Я.КУПАЛЫ 74 К.9)",,
