value,unp,registration_date,removal_date,status,full_name_ru,trade_name_ru,address,oked,oked_name
"""АВИКС"" ООО 600276253",600276253,793404000000,,LIQUIDATING,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВИКС""",АВИКС,"223070, Минская область, Минский район, п. Михановичи, ул. БАЧИЛО, д. 12, (12)",,
"""АКМАТАР"" ООО 600482567",600482567,877903200000,,LIQUIDATING,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКМАТАР""",АКМАТАР,"223035, Минская область, Минский район, д. Ратомка, ул. ЗВЕЗДНАЯ, д. 15",,
"""БЕЛТОРГСЕРВИС"" ООО 600421279",600421279,851292000000,,LIQUIDATING,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕЛТОРГСЕРВИС""",БЕЛТОРГСЕРВИС,"223070, Минская область, Минский район, п. Михановичи, ул. ПРИВОКЗАЛЬНАЯ, д. 1, (1)",,
"""ВНЕШПРОМ"" ООО 101489327",101489327,892674000000,,LIQUIDATING,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВНЕШПРОМ""",ВНЕШПРОМ,"220013, г. Минск, ул. Я.Коласа, д. 27, корпус 2, кв. 20",,
"""ЖИЛКОМСТРОЙ"" ООО 600500524",600500524,888184800000,,LIQUIDATING,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСТРОЙ""",ЖИЛКОМСТРОЙ,"223010, Минская область, Минский район, п. Лесной, д. 16, кв. 2, (16, КВ 2)",,
"ИП ""АЛИДЕНА"" 800001712",800001712,946504800000,,LIQUIDATING,"Иностранное производственное частное унитарное предприятие ""АЛИДЕНА"" ООО ""АЛИДЕНА""",АЛИДЕНА,"220012, г. Минск, ул. К.Чорного, д. 5а, ком. 4",,
"ИП ""АУДИОФОРМАТ"" 800010470",800010470,997736400000,,LIQUIDATING,"Иностранное частное унитарное торговое предприятие ""АУДИОФОРМАТ"" ООО ""СЛАВМУЗСИСТЕМЫ""",АУДИОФОРМАТ,"г. Минск, ул. Шишкина, д. 20, корпус 1, ком. 2",,
"ИП ""БЕЛБРИДЖ"" 800008929",800008929,988923600000,,LIQUIDATING,"Иностранное торгово-производственное частное унитарное предприятие ""БЕЛБРИДЖ"" ООО ""ИСТ БРИДЖ НАФТА""",БЕЛБРИДЖ,"220026, г. Минск, ул. Корицкого, д. 3, ком. 2",,
"ИП ""ВИНПРОДУКТ"" 800013878",800013878,1018558800000,,LIQUIDATING,"Иностранное частное унитарное торговое предприятие ""ВИНПРОДУКТ"" ООО ""ЛОНГФИЛД Л.Л.С.""",ВИНПРОДУКТ,"г. Минск, ул. 1-й Твердый, д. 6, ком. 213",,
"ИП ""ГЛОБАЛТРАНС"" 800007154",800007154,976831200000,,LIQUIDATING,"Иностранное торгово-транспортное частное унитарное предприятие ""ГЛОБАЛТРАНС"" ООО ""ГЛОБАЛ-СТРОЙ-2000""",ГЛОБАЛТРАНС,"220006, г. Минск, ул. Полевая, д. 24а, ком. 16",,
"ИП ""ДИАНБЕЛ"" 800014912",800014912,1024434000000,,LIQUIDATING,"Иностранное торговое частное унитарное предприятие ""ДИАНБЕЛ"" ООО ""ДИАНЕКС""",ДИАНБЕЛ,"220115, г. Минск, ул. Стебенева, д. 8, ком. 10",,
"ИП ""Интранспол"" 200310731",200310731,772923600000,,LIQUIDATING,"Иностранное частное унитарное транспортно-экспедиционное предприятие ""Интранспол"" ООО ""Интранспол""",Интранспол,"224622, Брестская область, г. Брест, ул. Я.Купалы, д. 106б",,
"ИП ""МЕЖРЕГИОНИНВЕСТ"" 800011331",800011331,1003179600000,,LIQUIDATING,"Иностранное частное унитарное торговое предприятие ""МЕЖРЕГИОНИНВЕСТ"" ООО ""УАЙЭЛЕСС ИНВЕСТМЕНТС""",МЕЖРЕГИОНИНВЕСТ,"г. Минск, ул. Шишкина, д. 20, корпус 1, ком. 6",,
"ИП ""ПРОТЕХВЕСТ"" 800005271",800005271,968101200000,,LIQUIDATING,"Иностранное частное унитарное торговое предприятие ""ПРОТЕХВЕСТ"" ООО ""РИНАМИ""",ПРОТЕХВЕСТ,"220108, г. Минск, ул. Казинца, д. 62, ком. 251",,
"""ИСЛОЧЬ"" ООО 600469938",600469938,874875600000,,LIQUIDATING,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСЛОЧЬ""",ИСЛОЧЬ,"222365, Минская область, Воложинский район, д. Раков, ул. ДТП ""ИСЛОЧЬ"", д. 1, кв. 4, (1,КВ 4)",,
"""КРОНТИС"" ООО 600504969",600504969,891205200000,,LIQUIDATING,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРОНТИС""",КРОНТИС,"222000, Минская область, Минский район, д. Ждановичи",,
"""НАСК"" ООО 600514350",600514350,893883600000,,LIQUIDATING,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАСК""",НАСК,"223053, Минская область, Минский район, д. Валерьяново, ул. НИЗКАЯ, д. 3, (3)",,
"ООО ""4фан"" 101527173",101527173,896130000000,,LIQUIDATING,"Общество с ограниченной ответственностью ""4фан""",4фан,"220086, г. Минск, ул. Славинского, д. 45, (2-й этаж, помещение кафе)",55300,Предоставление услуг ресторанами
"ООО ""5мин"" 691069296",691069296,1332450000000,,LIQUIDATING,"Общество с ограниченной ответственностью ""5мин""",5мин,"222811, Минская область, Пуховичский район, г. Марьина Горка, ул. Андреевская, д. 20, пав. 219",74400,Рекламная деятельность
"ООО ""100ПИЦОТ"" 491052590",491052590,1348088400000,,LIQUIDATING,"Общество с ограниченной ответственностью ""100ПИЦОТ""",100ПИЦОТ,"246050, Гомельская область, г. Гомель, ул. Ирининская, д. 25, пом. 1 а",52422,"Розничная торговля одеждой, кроме трикотажной и чулочно-носочных изделий"
